English	French	German	Italian	Portuguese	Spanish
actinium	actinium	Actinium	attinio	actínio	actinio
aluminium	aluminium	Aluminium	alluminio	alumínio	aluminio
americium	américium	Americium	americio	amerício	americio
antimony	antimoine	Antimon	antimonio	antimónio	antimonio
argon	argon	Argon	argo	argônio	argón
arsenic	arsenic	Arsen	arsenico	arsénic	arsénico
astatine	astate	Astat	astato	astato	astato
barium	baryum	Barium	bario	bário	bario
berkelium	berkélium	Berkelium	berkelio	berquélio	berkelio
beryllium	béryllium	Beryllium	berillio	berílio	berilio
bismuth	bismuth	Bismut	bismuto	bismuto	bismuto
bohrium	bohrium	Bohrium	bohrio	bóhrio	bohrio
boron	bore	Bor	boro	boro	boro
bromine	brome	Brom	bromo	bromo	bromo
cadmium	cadmium	Cadmium	cadmio	cádmio	cadmio
calcium	calcium	Calcium	calcio	cálcio	calcio
californium	californium	Californium	californio	califórnio	californio
carbon	carbone	Kohlenstoff	carbonio	carbono	carbono
cerium	cérium	Cer	cerio	cério	cerio
caesium	césium	Caesium	cesio	césio	cesio
chlorine	chlore	Chlor	cloro	cloro	cloro
chromium	chrome	Chrom	cromo	crómio	cromo
cobalt	cobalt	Kobalt	cobalto	cobalto	cobalto
copernicium	copernicium	Copernicium	copernicio	copernício	copernicio
copper	cuivre	Kupfer	rame	cobre	cobre
curium	curium	Curium	curio	curio	curio
darmstadtium	darmstadtium	Darmstadtium	darmstadtio	darmstádtio	darmstatio
dubnium	dubnium	Dubnium	dubnio	dúbnio	dubnio
dysprosium	dysprosium	Dysprosium	disprosio	disprósio	disprosio
einsteinium	einsteinium	Einsteinium	einsteinio	einstenio	einstenio
erbium	erbium	Erbium	erbio	érbio	erbio
europium	europium	Europium	europio	európio	europio
fermium	fermium	Fermium	fermio	fermio	fermio
flerovium	flérovium	Flerovium	flerovio	Fleróvio	flerovio
fluorine	fluor	Fluor	fluoro	flúor	fluor
francium	francium	Francium	francio	frâncio	francio
gadolinium	gadolinium	Gadolinium	gadolinio	gadolíneo	gadolinio
gallium	gallium	Gallium	gallio	gálio	galio
germanium	germanium	Germanium	germanio	germânio	germanio
gold	or	Gold	oro	ouro	oro
hafnium	hafnium	Hafnium	afnio	háfnio	hafnio
hassium	hassium	Hassium	hassio	hássio	hassio
helium	hélium	Helium	elio	hélio	helio
holmium	holmium	Holmium	olmio	hólmio	holmio
hydrogen	hydrogène	Wasserstoff	idrogeno	hidrogênio	hidrógeno
indium	indium	Indium	indio	índio	indio
iodine	iode	Iod	iodio	iodo	yodo
iridium	iridium	Iridium	iridio	irídio	iridio
iron	fer	Eisen	ferro	ferro	hierro
krypton	krypton	Krypton	cripto	criptônio	kriptón
lanthanum	lanthane	Lanthan	lantanio	lantânio	lantano
lawrencium	lawrencium	Lawrencium	lawrentio	laurêncio	lawrencio
lead	plomb	Blei	piombo	chumbo	plomo
livermorium	livermorium	Livermorium	livermorio	livermório	livermorio
lithium	lithium	Lithium	litio	litio	litio
lutetium	lutetium	Lutetium	lutezio	lutécio	lutecio
magnesium	magnésium	Magnesium	magnesio	magnésio	magnesio
manganese	manganèse	Mangan	manganese	manganês	manganeso
meitnerium	meitnerium	Meitnerium	meitnerio	meitnério	meitnerio
mendelevium	mendelévium	Mendelevium	mendelevio	mendelévio	mendelevio
mercury	mercure	Quecksilber	mercurio	mercúrio	mercurio
molybdenum	molybdène	Molybdän	molibdeno	molibdênio	molibdeno
moscovium	moscovium	Moscovium	moscovio	moscóvio	moscovio
neodymium	néodyme	Neodym	neodimio	neodímio	neodimio
neon	néon	Neon	neo	neônio	neón
neptunium	neptunium	Neptunium	nettunio	neptúnio	neptunio
nickel	nickel	Nickel	nichel	niquel	niquel
nihonium	nihonium	Nihonium	nihonio	nihonium	nihonio
niobium	niobium	Niob	niobio	nióbio	niobio
nitrogen	azote	Stickstoff	azoto	nitrogênio	nitrógeno
nobelium	nobélium	Nobelium	nobelio	nobélio	nobelio
osmium	osmium	Osmium	osmio	osmio	osmio
oxygen	oxygène	Sauerstoff	ossigeno	oxigénio	oxígeno
palladium	palladium	Palladium	palladio	paládio	paladio
phosphorus	phosphore	Phosphor	fosforo	fósforo	fósforo
platinum	platine	Platin	platino	platina	platino
plutonium	plutonium	Plutonium	plutonio	plutónio	plutonio
polonium	polonium	Polonium	polonio	polónio	polonio
potassium	potassium	Kalium	potassio	potássio	potasio
praseodymium	praséodyme	Praseodym	praseodimio	praseodímio	praseodimio
promethium	prométhium	Promethium	prometo	promécio	prometio
protactinium	protactinium	Protactinium	protoattinio	protacnídio	protactinio
radium	radium	Radium	radio	rádio	radio
radon	radon	Radon	radon (emanio)	rádon	radón
rhenium	rhénium	Rhenium	renio	rénio	renio
rhodium	rhodium	Rhodium	rodio	ródio	rodio
roentgenium	roentgenium	Roentgenium	roentgenio	roentgênio	roentgenio
rubidium	rubidium	Rubidium	rubidio	rubídio	rubidio
ruthenium	ruthénium	Ruthenium	rutenio	ruténio	rutenio
rutherfordium	rutherfordium	Rutherfordium	rutherfordio	ruterfórdio	rutherfordio
samarium	samarium	Samarium	samario	samário	samario
scandium	scandium	Scandium	scandio	escândio	escandio
seaborgium	seaborgium	Seaborgium	seaborgio	seabórgio	seaborgio
selenium	sélénium	Selen	selenio	selénio	selenio
silicon	silicium	Silicium	silicio	silício	silicio
silver	argent	Silber	argento	prata	plata
sodium	sodium	Natrium	sodio	sódio	sodio
strontium	strontium	Strontium	stronzio	estrôncio	estroncio
sulfur	soufre	Schwefel	solfo	enxofre	azufre
tantalum	tantale	Tantal	tantalio	tântalo	tántalo
technetium	technétium	Technetium	tecneto	tecnécio	tecnecio
tellurium	tellure	Tellur	tellurio	telúrio	teluro
tennessine	tennesse	Tenness	tennesso	tenesso	teneso
terbium	terbium	Terbium	terbio	térbio	terbio
thallium	thallium	Thallium	tallio	tálio	talio
thorium	thorium	Thorium	torio	tório	torio
thulium	thulium	Thulium	tulio	túlio	tulio
tin	etain	Zinn	stagno	estanho	estaño
titanium	titane	Titan	titanio	titânio	titanio
tungsten	tungstène	Wolfram	wolframio	tungsténio	wolframio
uranium	uranium	Uran	uranio	urânio	uranio
vanadium	vanadium	Vanadium	vanadio	vanádio	vanadio
xenon	xénon	Xenon	xeno	xénon	xenón
ytterbium	ytterbium	Ytterbium	itterbio	itérbio	yterbio
yttrium	yttrium	Yttrium	ittrio	itrio	ytrio
zinc	zinc	Zink	zinco	zinco	cinc
zirconium	zirconium	Zirkonium	zirconio	zircónio	circonio
oganesson	oganesson	Oganesson	oganesson	oganésson	oganesón