1;1;hydrogène;;Li;;He
1;18;hélium;;Ne;H;Li
2;1;lithium;H;Na;He;Be
2;16;oxygène;;S;N;F
2;15;azote;;P;C;O
3;13;aluminium;B;Ga;Mg;Si
2;14;carbone;;Si;B;N
2;13;bore;;Al;Be;C
3;1;sodium;Li;K;Ne;Mg
3;2;magnésium;Be;Ca;Na;Al
3;16;soufre;O;Se;P;Cl
4;11;cuivre;;Ag;Ni;Zn
3;14;silicium;C;Ge;Al;P
2;2;béryllium;;Mg;Li;B
6;11;or;Ag;Rg;Pt;Hg
4;8;fer;;Ru;Mn;Co
3;15;phosphore;N;As;Si;S
5;11;argent;Cu;Au;Pd;Cd
2;17;fluor;;Cl;O;Ne
3;17;chlore;F;Br;S;Ar
4;10;nickel;;Pd;Co;Cu
2;18;néon;He;Ar;F;Na
4;1;potassium;Na;Rb;Ar;Ca
4;9;cobalt;;Rh;Fe;Ni
4;12;zinc;;Cd;Cu;Ga
3;18;argon;Ne;Kr;Cl;K
4;7;manganèse;;Tc;Cr;Fe
4;2;calcium;Mg;Sr;K;Sc
5;10;palladium;Ni;Pt;Rh;Ag
4;4;titane;;Zr;Sc;V
4;17;brome;Cl;I;Se;Kr
4;13;gallium;Al;In;Zn;Ge
4;16;sélénium;S;Te;As;Br
6;10;platine;Pd;Ds;Ir;Au
4;6;chrome;;Mo;V;Mn
4;15;arsenic;P;Sb;Ge;Se
5;14;etain;Ge;Pb;In;Sb
6;14;plomb;Sn;Fl;Tl;Bi
4;5;vanadium;;Nb;Ti;Cr
4;14;germanium;Si;Sn;Ga;As
5;15;antimoine;As;Bi;Sn;Te
5;17;iode;Br;At;Te;Xe
6;6;tungstène;Mo;Sg;Ta;Re
6;15;bismuth;Sb;Mc;Pb;Po
5;6;molybdène;Cr;W;Nb;Tc
4;3;scandium;;Y;Ca;Ti
5;9;rhodium;Co;Ir;Ru;Pd
Ac;3;uranium;Nd;;Pa;Np
4;18;krypton;Ar;Xe;Br;Rb
5;12;cadmium;Zn;Hg;Ag;In
5;18;xénon;Kr;Rn;I;Cs
5;8;ruthénium;Fe;Os;Tc;Rh
5;16;tellure;Se;Po;Sb;I
6;9;iridium;Rh;Mt;Os;Pt
5;1;rubidium;K;Cs;Kr;Sr
6;12;mercure;Cd;Cn;Au;Tl
5;4;zirconium;Ti;Hf;Y;Nb
6;18;radon;Xe;Og;At;Fr
5;13;indium;Ga;Tl;Cd;Sn
7;18;oganesson;Rn;;Ts;
Ac;5;plutonium;Sm;;Np;Am
7;11;roentgenium;Au;;Ds;Cn
6;1;césium;Rb;Fr;Xe;Ba
5;5;niobium;V;Ta;Zr;Mo
5;2;strontium;Ca;Ba;Rb;Y
6;16;polonium;Te;Lv;Bi;At
6;17;astate;I;Ts;Po;Rn
5;7;technétium;Mn;Re;Mo;Ru
7;1;francium;Cs;;Rn;Ra
7;2;radium;Ba;;Fr;Ac
6;5;tantale;Nb;Db;Hf;W
7;15;moscovium;Bi;;Fl;Lv
6;2;baryum;Sr;Ra;Cs;La
6;8;osmium;Ru;Hs;Re;Ir
Ac;4;neptunium;Pm;;U;Pu
Ac;3;néodyme;;U;Pr;Pm
6;13;thallium;In;Nh;Hg;Pb
7;14;flérovium;Pb;;Nh;Mc
6;7;rhénium;Tc;Bh;W;Os
5;3;yttrium;Sc;La;Sr;Zr
Ac;2;protactinium;Pr;;Th;U
7;17;tennesse;At;;Lv;Og
La;1;thorium;Ce;;Ac;Pa
Ac;5;samarium;;Pu;Pm;Eu
Ac;6;américium;Eu;;Pu;Cm
7;16;livermorium;Po;;Mc;Ts
7;3;actinium;La;;Ra;Th
7;6;seaborgium;W;;Db;Bh
La;1;cérium;;Th;La;Pr
6;3;lanthane;Y;Ac;Ba;Ce
6;4;hafnium;Zr;Rf;Lu;Ta
7;10;darmstadtium;Pt;;Mt;Rg
Ac;4;prométhium;;Np;Nd;Sm
Ac;6;europium;;Am;Sm;Gd
Ac;9;californium;Dy;;Bk;Es
Ac;7;gadolinium;;Cm;Eu;Tb
7;13;nihonium;Tl;;Cn;Fl
Ac;2;praséodyme;;Pa;Ce;Nd
7;9;meitnerium;Ir;;Hs;Ds
Ac;10;einsteinium;Ho;;Cf;Fm
7;8;hassium;Os;;Bh;Mt
Ac;7;curium;Gd;;Am;Bk
7;5;dubnium;Ta;;Rf;Sg
Ac;14;lutetium;;Lr;Yb;Hf
Ac;9;dysprosium;;Cf;Tb;Ho
7;12;copernicium;Hg;;Rg;Nh
Ac;13;ytterbium;;No;Tm;Lu
Ac;10;holmium;;Es;Dy;Er
Ac;8;terbium;;Bk;Gd;Dy
Ac;8;berkélium;Tb;;Cm;Cf
Ac;14;lawrencium;Lu;;No;Rf
7;4;rutherfordium;Hf;;Lr;Db
Ac;12;thulium;;Md;Er;Yb
7;7;bohrium;Re;;Sg;Hs
Ac;11;erbium;;Fm;Ho;Tm
Ac;13;nobélium;Yb;;Md;Lr
Ac;11;fermium;Er;;Es;Md
Ac;12;mendelévium;Tm;;Fm;No