H;hydrogène;1;1;1;;Li;;He
He;hélium;1;18;2;;Ne;H;Li
Li;lithium;2;1;3;H;Na;He;Be
O;oxygène;2;16;8;;S;N;F
N;azote;2;15;7;;P;C;O
Al;aluminium;3;13;13;B;Ga;Mg;Si
C;carbone;2;14;6;;Si;B;N
B;bore;2;13;5;;Al;Be;C
Na;sodium;3;1;11;Li;K;Ne;Mg
Mg;magnésium;3;2;12;Be;Ca;Na;Al
S;soufre;3;16;16;O;Se;P;Cl
Cu;cuivre;4;11;29;;Ag;Ni;Zn
Si;silicium;3;14;14;C;Ge;Al;P
Be;béryllium;2;2;4;;Mg;Li;B
Au;or;6;11;79;Ag;Rg;Pt;Hg
Fe;fer;4;8;26;;Ru;Mn;Co
P;phosphore;3;15;15;N;As;Si;S
Ag;argent;5;11;47;Cu;Au;Pd;Cd
F;fluor;2;17;9;;Cl;O;Ne
Cl;chlore;3;17;17;F;Br;S;Ar
Ni;nickel;4;10;28;;Pd;Co;Cu
Ne;néon;2;18;10;He;Ar;F;Na
K;potassium;4;1;19;Na;Rb;Ar;Ca
Co;cobalt;4;9;27;;Rh;Fe;Ni
Zn;zinc;4;12;30;;Cd;Cu;Ga
Ar;argon;3;18;18;Ne;Kr;Cl;K
Mn;manganèse;4;7;25;;Tc;Cr;Fe
Ca;calcium;4;2;20;Mg;Sr;K;Sc
Pd;palladium;5;10;46;Ni;Pt;Rh;Ag
Ti;titane;4;4;22;;Zr;Sc;V
Br;brome;4;17;35;Cl;I;Se;Kr
Ga;gallium;4;13;31;Al;In;Zn;Ge
Se;sélénium;4;16;34;S;Te;As;Br
Pt;platine;6;10;78;Pd;Ds;Ir;Au
Cr;chrome;4;6;24;;Mo;V;Mn
As;arsenic;4;15;33;P;Sb;Ge;Se
Sn;etain;5;14;50;Ge;Pb;In;Sb
Pb;plomb;6;14;82;Sn;Fl;Tl;Bi
V;vanadium;4;5;23;;Nb;Ti;Cr
Ge;germanium;4;14;32;Si;Sn;Ga;As
Sb;antimoine;5;15;51;As;Bi;Sn;Te
I;iode;5;17;53;Br;At;Te;Xe
W;tungstène;6;6;74;Mo;Sg;Ta;Re
Bi;bismuth;6;15;83;Sb;Mc;Pb;Po
Mo;molybdène;5;6;42;Cr;W;Nb;Tc
Sc;scandium;4;3;21;;Y;Ca;Ti
Rh;rhodium;5;9;45;Co;Ir;Ru;Pd
U;uranium;Ac;3;92;Nd;;Pa;Np
Kr;krypton;4;18;36;Ar;Xe;Br;Rb
Cd;cadmium;5;12;48;Zn;Hg;Ag;In
Xe;xénon;5;18;54;Kr;Rn;I;Cs
Ru;ruthénium;5;8;44;Fe;Os;Tc;Rh
Te;tellure;5;16;52;Se;Po;Sb;I
Ir;iridium;6;9;77;Rh;Mt;Os;Pt
Rb;rubidium;5;1;37;K;Cs;Kr;Sr
Hg;mercure;6;12;80;Cd;Cn;Au;Tl
Zr;zirconium;5;4;40;Ti;Hf;Y;Nb
Rn;radon;6;18;86;Xe;Og;At;Fr
In;indium;5;13;49;Ga;Tl;Cd;Sn
Og;oganesson;7;18;118;Rn;;Ts;
Pu;plutonium;Ac;5;94;Sm;;Np;Am
Rg;roentgenium;7;11;111;Au;;Ds;Cn
Cs;césium;6;1;55;Rb;Fr;Xe;Ba
Nb;niobium;5;5;41;V;Ta;Zr;Mo
Sr;strontium;5;2;38;Ca;Ba;Rb;Y
Po;polonium;6;16;84;Te;Lv;Bi;At
At;astate;6;17;85;I;Ts;Po;Rn
Tc;technétium;5;7;43;Mn;Re;Mo;Ru
Fr;francium;7;1;87;Cs;;Rn;Ra
Ra;radium;7;2;88;Ba;;Fr;Ac
Ta;tantale;6;5;73;Nb;Db;Hf;W
Mc;moscovium;7;15;115;Bi;;Fl;Lv
Ba;baryum;6;2;56;Sr;Ra;Cs;La
Os;osmium;6;8;76;Ru;Hs;Re;Ir
Np;neptunium;Ac;4;93;Pm;;U;Pu
Nd;néodyme;Ac;3;60;;U;Pr;Pm
Tl;thallium;6;13;81;In;Nh;Hg;Pb
Fl;flérovium;7;14;114;Pb;;Nh;Mc
Re;rhénium;6;7;75;Tc;Bh;W;Os
Y;yttrium;5;3;39;Sc;La;Sr;Zr
Pa;protactinium;Ac;2;91;Pr;;Th;U
Ts;tennesse;7;17;117;At;;Lv;Og
Th;thorium;La;1;90;Ce;;Ac;Pa
Sm;samarium;Ac;5;62;;Pu;Pm;Eu
Am;américium;Ac;6;95;Eu;;Pu;Cm
Lv;livermorium;7;16;116;Po;;Mc;Ts
Ac;actinium;7;3;89;La;;Ra;Th
Sg;seaborgium;7;6;106;W;;Db;Bh
Ce;cérium;La;1;58;;Th;La;Pr
La;lanthane;6;3;57;Y;Ac;Ba;Ce
Hf;hafnium;6;4;72;Zr;Rf;Lu;Ta
Ds;darmstadtium;7;10;110;Pt;;Mt;Rg
Pm;prométhium;Ac;4;61;;Np;Nd;Sm
Eu;europium;Ac;6;63;;Am;Sm;Gd
Cf;californium;Ac;9;98;Dy;;Bk;Es
Gd;gadolinium;Ac;7;64;;Cm;Eu;Tb
Nh;nihonium;7;13;113;Tl;;Cn;Fl
Pr;praséodyme;Ac;2;59;;Pa;Ce;Nd
Mt;meitnerium;7;9;109;Ir;;Hs;Ds
Es;einsteinium;Ac;10;99;Ho;;Cf;Fm
Hs;hassium;7;8;108;Os;;Bh;Mt
Cm;curium;Ac;7;96;Gd;;Am;Bk
Db;dubnium;7;5;105;Ta;;Rf;Sg
Lu;lutetium;Ac;14;71;;Lr;Yb;Hf
Dy;dysprosium;Ac;9;66;;Cf;Tb;Ho
Cn;copernicium;7;12;112;Hg;;Rg;Nh
Yb;ytterbium;Ac;13;70;;No;Tm;Lu
Ho;holmium;Ac;10;67;;Es;Dy;Er
Tb;terbium;Ac;8;65;;Bk;Gd;Dy
Bk;berkélium;Ac;8;97;Tb;;Cm;Cf
Lr;lawrencium;Ac;14;103;Lu;;No;Rf
Rf;rutherfordium;7;4;104;Hf;;Lr;Db
Tm;thulium;Ac;12;69;;Md;Er;Yb
Bh;bohrium;7;7;107;Re;;Sg;Hs
Er;erbium;Ac;11;68;;Fm;Ho;Tm
No;nobélium;Ac;13;102;Yb;;Md;Lr
Fm;fermium;Ac;11;100;Er;;Es;Md
Md;mendelévium;Ac;12;101;Tm;;Fm;No