H;hidrogênio;1;1;1;;Li;;He
He;hélio;1;18;2;;Ne;H;Li
Li;litio;2;1;3;H;Na;He;Be
O;oxigénio;2;16;8;;S;N;F
N;nitrogênio;2;15;7;;P;C;O
Al;alumínio;3;13;13;B;Ga;Mg;Si
C;carbono;2;14;6;;Si;B;N
B;boro;2;13;5;;Al;Be;C
Na;sódio;3;1;11;Li;K;Ne;Mg
Mg;magnésio;3;2;12;Be;Ca;Na;Al
S;enxofre;3;16;16;O;Se;P;Cl
Cu;cobre;4;11;29;;Ag;Ni;Zn
Si;silício;3;14;14;C;Ge;Al;P
Be;berílio;2;2;4;;Mg;Li;B
Au;ouro;6;11;79;Ag;Rg;Pt;Hg
Fe;ferro;4;8;26;;Ru;Mn;Co
P;fósforo;3;15;15;N;As;Si;S
Ag;prata;5;11;47;Cu;Au;Pd;Cd
F;flúor;2;17;9;;Cl;O;Ne
Cl;cloro;3;17;17;F;Br;S;Ar
Ni;niquel;4;10;28;;Pd;Co;Cu
Ne;neônio;2;18;10;He;Ar;F;Na
K;potássio;4;1;19;Na;Rb;Ar;Ca
Co;cobalto;4;9;27;;Rh;Fe;Ni
Zn;zinco;4;12;30;;Cd;Cu;Ga
Ar;argônio;3;18;18;Ne;Kr;Cl;K
Mn;manganês;4;7;25;;Tc;Cr;Fe
Ca;cálcio;4;2;20;Mg;Sr;K;Sc
Pd;paládio;5;10;46;Ni;Pt;Rh;Ag
Ti;titânio;4;4;22;;Zr;Sc;V
Br;bromo;4;17;35;Cl;I;Se;Kr
Ga;gálio;4;13;31;Al;In;Zn;Ge
Se;selénio;4;16;34;S;Te;As;Br
Pt;platina;6;10;78;Pd;Ds;Ir;Au
Cr;crómio;4;6;24;;Mo;V;Mn
As;arsénic;4;15;33;P;Sb;Ge;Se
Sn;estanho;5;14;50;Ge;Pb;In;Sb
Pb;chumbo;6;14;82;Sn;Fl;Tl;Bi
V;vanádio;4;5;23;;Nb;Ti;Cr
Ge;germânio;4;14;32;Si;Sn;Ga;As
Sb;antimónio;5;15;51;As;Bi;Sn;Te
I;iodo;5;17;53;Br;At;Te;Xe
W;tungsténio;6;6;74;Mo;Sg;Ta;Re
Bi;bismuto;6;15;83;Sb;Mc;Pb;Po
Mo;molibdênio;5;6;42;Cr;W;Nb;Tc
Sc;escândio;4;3;21;;Y;Ca;Ti
Rh;ródio;5;9;45;Co;Ir;Ru;Pd
U;urânio;Ac;3;92;Nd;;Pa;Np
Kr;criptônio;4;18;36;Ar;Xe;Br;Rb
Cd;cádmio;5;12;48;Zn;Hg;Ag;In
Xe;xénon;5;18;54;Kr;Rn;I;Cs
Ru;ruténio;5;8;44;Fe;Os;Tc;Rh
Te;telúrio;5;16;52;Se;Po;Sb;I
Ir;irídio;6;9;77;Rh;Mt;Os;Pt
Rb;rubídio;5;1;37;K;Cs;Kr;Sr
Hg;mercúrio;6;12;80;Cd;Cn;Au;Tl
Zr;zircónio;5;4;40;Ti;Hf;Y;Nb
Rn;rádon;6;18;86;Xe;Og;At;Fr
In;índio;5;13;49;Ga;Tl;Cd;Sn
Og;oganésson;7;18;118;Rn;;Ts;
Pu;plutónio;Ac;5;94;Sm;;Np;Am
Rg;roentgênio;7;11;111;Au;;Ds;Cn
Cs;césio;6;1;55;Rb;Fr;Xe;Ba
Nb;nióbio;5;5;41;V;Ta;Zr;Mo
Sr;estrôncio;5;2;38;Ca;Ba;Rb;Y
Po;polónio;6;16;84;Te;Lv;Bi;At
At;astato;6;17;85;I;Ts;Po;Rn
Tc;tecnécio;5;7;43;Mn;Re;Mo;Ru
Fr;frâncio;7;1;87;Cs;;Rn;Ra
Ra;rádio;7;2;88;Ba;;Fr;Ac
Ta;tântalo;6;5;73;Nb;Db;Hf;W
Mc;moscóvio;7;15;115;Bi;;Fl;Lv
Ba;bário;6;2;56;Sr;Ra;Cs;La
Os;osmio;6;8;76;Ru;Hs;Re;Ir
Np;neptúnio;Ac;4;93;Pm;;U;Pu
Nd;neodímio;Ac;3;60;;U;Pr;Pm
Tl;tálio;6;13;81;In;Nh;Hg;Pb
Fl;Fleróvio;7;14;114;Pb;;Nh;Mc
Re;rénio;6;7;75;Tc;Bh;W;Os
Y;itrio;5;3;39;Sc;La;Sr;Zr
Pa;protacnídio;Ac;2;91;Pr;;Th;U
Ts;tenesso;7;17;117;At;;Lv;Og
Th;tório;La;1;90;Ce;;Ac;Pa
Sm;samário;Ac;5;62;;Pu;Pm;Eu
Am;amerício;Ac;6;95;Eu;;Pu;Cm
Lv;livermório;7;16;116;Po;;Mc;Ts
Ac;actínio;7;3;89;La;;Ra;Th
Sg;seabórgio;7;6;106;W;;Db;Bh
Ce;cério;La;1;58;;Th;La;Pr
La;lantânio;6;3;57;Y;Ac;Ba;Ce
Hf;háfnio;6;4;72;Zr;Rf;Lu;Ta
Ds;darmstádtio;7;10;110;Pt;;Mt;Rg
Pm;promécio;Ac;4;61;;Np;Nd;Sm
Eu;európio;Ac;6;63;;Am;Sm;Gd
Cf;califórnio;Ac;9;98;Dy;;Bk;Es
Gd;gadolíneo;Ac;7;64;;Cm;Eu;Tb
Nh;nihonium;7;13;113;Tl;;Cn;Fl
Pr;praseodímio;Ac;2;59;;Pa;Ce;Nd
Mt;meitnério;7;9;109;Ir;;Hs;Ds
Es;einstenio;Ac;10;99;Ho;;Cf;Fm
Hs;hássio;7;8;108;Os;;Bh;Mt
Cm;curio;Ac;7;96;Gd;;Am;Bk
Db;dúbnio;7;5;105;Ta;;Rf;Sg
Lu;lutécio;Ac;14;71;;Lr;Yb;Hf
Dy;disprósio;Ac;9;66;;Cf;Tb;Ho
Cn;copernício;7;12;112;Hg;;Rg;Nh
Yb;itérbio;Ac;13;70;;No;Tm;Lu
Ho;hólmio;Ac;10;67;;Es;Dy;Er
Tb;térbio;Ac;8;65;;Bk;Gd;Dy
Bk;berquélio;Ac;8;97;Tb;;Cm;Cf
Lr;laurêncio;Ac;14;103;Lu;;No;Rf
Rf;ruterfórdio;7;4;104;Hf;;Lr;Db
Tm;túlio;Ac;12;69;;Md;Er;Yb
Bh;bóhrio;7;7;107;Re;;Sg;Hs
Er;érbio;Ac;11;68;;Fm;Ho;Tm
No;nobélio;Ac;13;102;Yb;;Md;Lr
Fm;fermio;Ac;11;100;Er;;Es;Md
Md;mendelévio;Ac;12;101;Tm;;Fm;No